CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
280702	1885.16479	19043678401	0.65921	0.12663	1885.06458	0.09387	4070	0	0.41096	0.30924	1	0.42236	0.30900	1	0.41666	0.30912	1	0.32933	0.54468	20.42847	1.08396	1	0.59277	0.56070	22.52444	1.09186	1	-0.04157	-0.01047	0.64614	0.00421	1	0.02372	-0.01385	0.65500	0.00451	1	0.52240	0.53426	0	
280703	1885.17200	19043750434	0.53734	0.21489	1885.06458	0.09387	4070	0	0.40934	0.30323	1	0.42160	0.30304	1	0.41547	0.30314	1	0.32931	0.54428	20.08979	1.09186	1	0.59274	0.56068	22.40870	1.09976	1	-0.04104	-0.01036	0.63646	0.00423	1	0.02398	-0.01406	0.66226	0.00452	1	0.52240	0.53426	0	
280704	1885.17786	19043808931	0.49928	0.24173	1885.06458	0.09387	4070	0	0.43055	0.29451	1	0.41575	0.29633	1	0.42315	0.29542	1	0.32958	0.54418	20.23715	1.09976	1	0.59351	0.56041	21.14696	1.09976	1	-0.04104	-0.01036	0.63646	0.00404	1	0.02398	-0.01406	0.66226	0.00453	1	0.52240	0.53426	0	
280705	1885.18518	19043881878	0.42281	0.30943	1885.06458	0.09387	4070	0	0.42364	0.34373	1	0.43599	0.31575	1	0.42982	0.32974	1	0.32977	0.54417	20.12321	1.09976	1	0.59372	0.56041	21.04584	1.09976	1	-0.04104	-0.01036	0.63646	0.00400	1	0.02398	-0.01406	0.66226	0.00450	1	0.52240	0.53426	0	
280706	1885.19177	19043948465	0.42632	0.31959	1885.06458	0.09387	4070	0	0.42364	0.34373	1	0.43599	0.31575	1	0.42982	0.32974	1	0.32964	0.54410	19.76932	1.09976	1	0.59373	0.56056	21.35158	1.09976	1	-0.04081	-0.01023	0.63434	0.00408	1	0.02396	-0.01392	0.65606	0.00445	1	0.52240	0.53426	0	
280707	1885.19885	19044018476	0.42866	0.31540	1885.06458	0.09387	4070	0	0.42030	0.33286	1	0.44641	0.28117	1	0.43336	0.30702	1	0.33001	0.54407	20.03366	1.09976	1	0.59421	0.56048	20.70273	1.09976	1	-0.04081	-0.01023	0.63434	0.00399	1	0.02396	-0.01392	0.65606	0.00453	1	0.52240	0.53426	0	
280708	1885.20532	19044083836	0.42910	0.31129	1885.18518	0.02014	4071	1	0.42805	0.27840	1	0.43277	0.31956	1	0.43041	0.29898	1	0.33014	0.54415	19.98884	1.09976	1	0.59452	0.56057	20.72967	1.09976	1	-0.04081	-0.01023	0.63434	0.00395	1	0.02396	-0.01392	0.65606	0.00444	1	0.52240	0.53426	0	
280709	1885.21118	19044142326	0.42915	0.30765	1885.18518	0.02600	4071	1	0.42659	0.27233	1	0.43209	0.31379	1	0.42934	0.29306	1	0.33019	0.54407	19.94349	1.10756	1	0.59446	0.56051	21.04382	1.10756	1	-0.04213	-0.01060	0.65719	0.00394	1	0.02418	-0.01394	0.65685	0.00441	1	0.52240	0.53426	0	
280710	1885.21802	19044209788	0.43001	0.30293	1885.18518	0.03284	4071	1	0.42730	0.30097	1	0.44131	0.25768	1	0.43431	0.27933	1	0.33075	0.54399	20.11260	1.11537	1	0.59501	0.56040	20.57921	1.11537	1	-0.04213	-0.01060	0.65719	0.00391	1	0.02418	-0.01394	0.65685	0.00443	1	0.52240	0.53426	0	
280711	1885.22473	19044277528	0.43116	0.29906	1885.18518	0.03955	4071	1	0.44660	0.29014	1	0.42962	0.26163	1	0.43811	0.27588	1	0.33083	0.54388	19.83719	1.12318	1	0.59526	0.56047	20.32567	1.12318	1	-0.04213	-0.01060	0.65719	0.00392	1	0.02418	-0.01394	0.65685	0.00446	1	0.52240	0.53426	0	
280712	1885.23206	19044350514	0.43191	0.29542	1885.18518	0.04688	4071	1	0.44527	0.28428	1	0.42893	0.25557	1	0.43710	0.26992	1	0.33092	0.54404	19.93302	1.13098	1	0.59526	0.56058	20.89368	1.13098	1	-0.04182	-0.01054	0.65394	0.00398	1	0.02465	-0.01410	0.66426	0.00437	1	0.52240	0.53426	0	
280713	1885.23816	19044412122	0.43296	0.29175	1885.18518	0.05298	4071	1	0.44130	0.27398	1	0.44155	0.25086	1	0.44143	0.26242	1	0.33127	0.54387	19.92944	1.13098	1	0.59584	0.56067	20.47997	1.13098	1	-0.04182	-0.01054	0.65394	0.00387	1	0.02465	-0.01410	0.66426	0.00447	1	0.52240	0.53426	0	
280714	1885.24548	19044484440	0.43203	0.28850	1885.18518	0.06030	4071	1	0.42423	0.27949	1	0.42308	0.23891	1	0.42366	0.25920	1	0.33133	0.54378	19.81924	1.13098	1	0.59597	0.56065	20.60415	1.13098	1	-0.04182	-0.01054	0.65394	0.00386	1	0.02465	-0.01410	0.66426	0.00436	1	0.52240	0.53426	0	
280715	1885.25183	19044548791	0.43140	0.28667	1885.18518	0.06665	4071	1	0.42569	0.28539	1	0.42453	0.25135	1	0.42511	0.26837	1	0.33159	0.54385	19.92795	1.12318	1	0.59602	0.56068	20.74163	1.11528	1	-0.04109	-0.01040	0.64467	0.00391	1	0.02408	-0.01369	0.64492	0.00432	1	0.52240	0.53426	0	
280716	1885.25830	19044613365	0.43228	0.28590	1885.18518	0.07312	4071	1	0.44957	0.27796	1	0.43421	0.27694	1	0.44189	0.27745	1	0.33173	0.54377	19.88021	1.10747	1	0.59642	0.56068	20.63177	1.09958	1	-0.04109	-0.01040	0.64467	0.00386	1	0.02408	-0.01369	0.64492	0.00435	1	0.52240	0.53426	0	
280717	1885.26575	19044687216	0.43315	0.28640	1885.18518	0.08057	4071	1	0.43972	0.28671	1	0.44743	0.29819	1	0.44358	0.29245	1	0.33215	0.54375	19.86211	1.09177	1	0.59660	0.56067	20.57349	1.08387	1	-0.04109	-0.01040	0.64467	0.00397	1	0.02408	-0.01369	0.64492	0.00437	1	0.52240	0.53426	0	
280718	1885.27173	19044747524	0.43398	0.28746	1885.18518	0.08655	4071	1	0.44115	0.29284	1	0.44857	0.30968	1	0.44486	0.30126	1	0.33207	0.54376	20.04006	1.08387	1	0.59666	0.56062	20.49093	1.06891	1	-0.04257	-0.01073	0.66874	0.00395	1	0.02367	-0.01337	0.63010	0.00435	1	0.52240	0.53426	0	
280719	1885.27893	19044819325	0.43472	0.28835	1885.18518	0.09375	4071	1	0.45248	0.33129	1	0.43767	0.27023	1	0.44507	0.30076	1	0.33208	0.54350	19.49557	1.07671	1	0.59689	0.56067	20.87584	1.06965	1	-0.04257	-0.01073	0.66874	0.00391	1	0.02367	-0.01337	0.63010	0.00429	1	0.52240	0.53426	0	
280720	1885.28564	19044887133	0.43576	0.29020	1885.18518	0.10046	4071	1	0.46037	0.31877	1	0.44236	0.31714	1	0.45136	0.31795	1	0.33206	0.54340	19.68036	1.07745	1	0.59691	0.56063	21.07498	1.07039	1	-0.04257	-0.01073	0.66874	0.00390	1	0.02367	-0.01337	0.63010	0.00430	1	0.52240	0.53426	0	
280721	1885.29248	19044954447	0.43670	0.29181	1885.18518	0.10730	4071	1	0.46156	0.32411	1	0.44171	0.31113	1	0.45164	0.31762	1	0.33208	0.54340	19.72704	1.07039	1	0.59708	0.56044	20.49981	1.07829	1	-0.04099	-0.01023	0.64615	0.00386	1	0.02509	-0.01412	0.66528	0.00426	1	0.52240	0.53426	0	
280722	1885.29858	19045016246	0.43743	0.29205	1885.18518	0.11340	4071	1	0.45290	0.30112	1	0.44676	0.29083	1	0.44983	0.29598	1	0.33220	0.54327	19.53251	1.07048	1	0.59712	0.56016	20.30392	1.08544	1	-0.04099	-0.01023	0.64615	0.00384	1	0.02509	-0.01412	0.66528	0.00433	1	0.52240	0.53426	0	
280723	1885.30518	19045081645	0.43732	0.29133	1885.18518	0.12000	4071	1	0.44708	0.27999	1	0.42382	0.27707	1	0.43545	0.27853	1	0.33207	0.54301	19.43321	1.07764	1	0.59717	0.56008	20.34316	1.09260	1	-0.04099	-0.01023	0.64615	0.00378	1	0.02509	-0.01412	0.66528	0.00426	1	0.52240	0.53426	0	
280724	1885.31201	19045150078	0.43713	0.29010	1885.18518	0.12683	4071	1	0.44443	0.26813	1	0.42241	0.26534	1	0.43342	0.26673	1	0.33204	0.54306	19.52416	1.09260	1	0.59712	0.56015	20.17788	1.10756	1	-0.04221	-0.01052	0.66458	0.00375	1	0.02504	-0.01404	0.66395	0.00431	1	0.52240	0.53426	0	
